timestamp,lat,lon,Total,Countrate,U238,K40,Th232,Cs137,Height,Press,Temp,Hum
1749570358931,63.79192896181642,9.373129971566833,59,90,-0.713,150.472,27.581,3.436,60.18336106489185,1006.8795682634732,13.44,62.02
1749570359533,63.79192601179775,9.373108821722846,72,120,70.569,-40.54,14.879,-25.075,60.03342696629213,1006.8920418743768,13.44,62.01809571286142
1749570360133,63.79192299234331,9.373084877911817,68,150,-1.887,-33.496,40.453,29.576,59.79168053244592,1006.9044247258224,13.44,62.01211365902293
1749570360735,63.79192012673045,9.373061751444814,68,105,-32.648,199.315,12.604,65.024,59.69151414309484,1006.9148329341316,13.44,62.01389221556886
1749570361337,63.79191743845535,9.373037758499722,63,155,-5.993,76.808,13.818,28.816,59.59134775374376,1006.9241453093812,13.44,62.019900199600805
1749570361939,63.79191481076987,9.373014332105408,45,79,-15.827,74.699,17.737,39.701,59.49122516556291,1006.9355255489022,13.44,62.01409181636726
1749570362539,63.79191217061272,9.372991402040986,74,129,-42.19,82.193,60.888,54.217,59.38770388958594,1006.9478842472582,13.44,62.01
1749570363138,63.791909857673325,9.372969238103162,65,115,46.059,80.155,21.815,-5.96,59.29151414309484,1006.9623366899302,13.44,62.01
1749570363740,63.79190750228231,9.372946359406544,77,144,-33.996,186.518,48.41,13.991,59.2,1006.9738892215568,13.44,62.00612774451098
1749570364340,63.791905076616665,9.372923280808331,74,119,4.41,356.037,11.868,22.602,59.191500000000005,1006.9837694610776,13.44,62.00013972055888
1749570364940,63.791902536501105,9.372899086321745,68,114,-1.57,306.915,9.187,53.383,59.09155629139073,1006.9971586826348,13.44,62.005848303393215
1749570365540,63.79189990603801,9.37287556416249,52,71,-0.454,139.045,14.258,13.46,58.99411027568922,1007.0083895314058,13.44,62.01183449651047
1749570366142,63.791897562133336,9.37285098065,57,90,23.174,88.445,30.427,-17.357,58.9915,1007.0145715852442,13.44,62.01783649052842
1749570366742,63.791895200837494,9.372825627753745,64,109,14.329,121.143,9.755,9.202,58.89151414309484,1007.0321658682634,13.44,62.01617764471058
1749570367341,63.79189309289517,9.372801256541877,76,105,65.629,31.166,-8.573,18.213,58.791846921797,1007.0561976047904,13.44,62.0101996007984
1749570367942,63.79189067662803,9.372776496393488,48,55,47.796,25.083,2.1,15.401,58.67566225165563,1007.0694665668664,13.44,62.01
1749570368541,63.79188785909775,9.372752496240604,76,125,6.889,-25.687,37.513,9.76,58.39448621553885,1007.082634995015,13.441774675972082,62.01
1749570369148,63.7918861011593,9.372740791422904,66,83,5.035,-44.539,41.972,-6.808,59.046547619047615,1007.096735792622,13.447826520438683,62.01
1749570369745,63.79188325130061,9.372705386283972,57,85,10.992,63.414,5.564,36.792,58.2,1007.111218263473,13.45,62.01
1749570370347,63.79188085314476,9.37268195106489,58,95,73.076,1.537,-20.251,28.516,58.2,1007.1261781437128,13.45,62.01
1749570370946,63.791878191548015,9.372657527963575,77,105,-43.897,313.357,54.495,82.94,58.18377483443709,1007.139679041916,13.45,62.01
1749570371546,63.791875546541355,9.37263428556391,58,85,2.452,287.717,7.315,-9.38,57.983082706766915,1007.154223552894,13.45,62.01
1749570372146,63.79187266693522,9.372609927812846,79,115,-33.439,418.152,38.146,34.103,57.8843853820598,1007.1713493013972,13.45,62.01
1749570372747,63.79187002101666,9.37258696345,80,170,51.355,135.697,2.881,32.631,57.69233333333334,1007.1852401794616,13.45,62.00626121635094
1749570373348,63.791867507653905,9.372564821963394,61,95,0.876,-35.748,39.941,7.556,57.6,1007.1971643070788,13.45,62.000269192422735
1749570373950,63.79186445013245,9.3725407495585,57,104,-21.919,101.107,45.618,8.273,57.59205298013245,1007.207455489022,13.45,62.0
1749570374551,63.791861302020905,9.372517061440186,69,135,21.236,58.242,15.388,38.937,57.52722996515679,1007.2173568862275,13.45,62.00173652694611
1749570375156,63.791857758882415,9.37248981411259,84,157,-7.894,227.096,25.968,49.733,57.38269550748752,1007.2265949101796,13.45,62.0077744510978
1749570375756,63.7918546253137,9.372467967648664,62,129,5.218,234.388,28.29,-9.08,57.256509001636665,1007.2366153539382,13.45,62.01
1749570376956,63.79184896308652,9.372417372490297,71,120,54.294,327.181,-46.677,41.64,57.09184692179701,1007.2608329341316,13.45,62.015728542914175
1749570377557,63.79184671778333,9.372394241281247,79,145,43.955,98.2,9.579,1.067,56.98775,1007.2743393818544,13.45,62.01827517447657
1749570378156,63.79184461066556,9.372370694353856,64,65,-16.712,250.966,43.829,22.999,56.88402662229617,1007.2869404785642,13.45,62.01230309072782
1749570378756,63.791842650917914,9.372348012551305,70,130,-24.555,106.11,64.824,33.846,56.7,1007.3023691616768,13.45,62.013682634730536
1749570379357,63.79184099406667,9.372324884186112,83,124,6.6,248.894,34.631,10.084,56.7,1007.3195834331336,13.45,62.019680638722555
1749570379957,63.79183850604825,9.372300913261231,66,155,36.098,145.353,21.97,-16.367,56.7,1007.3313271457088,13.45566866267465,62.01433133732535
1749570380558,63.79183589106742,9.37227750279026,81,105,59.156,-40.456,15.013,11.98,56.7,1007.3425137587238,13.46,62.008334995014955
1749570381158,63.79183276244444,9.372253040444445,67,90,0.578,100.166,43.55,-0.917,56.69233333333334,1007.3529823529412,13.46,62.00235294117647
1749570381760,63.791829706225734,9.37222831980588,59,105,0.971,147.183,38.131,-0.284,56.59201331114809,1007.364588023952,13.46,62.0
1749570382361,63.791826554082085,9.372204613477535,75,139,-16.951,203.206,21.933,56.35,56.492013311148085,1007.3768839321356,13.46,62.0
1749570382962,63.791823937143654,9.372179603422074,61,125,41.105,65.057,-5.683,47.673,56.4,1007.3892363273452,13.46,62.00564870259481
1749570383563,63.791821241572435,9.372158657155476,65,90,18.665,-9.177,32.158,20.909,56.41243816254417,1007.4006346959123,13.46,62.005064805583245
1749570384171,63.791818630715476,9.372132582157516,79,130,-40.523,428.41,61.515,-1.116,56.30915141430948,1007.4096061814556,13.46,61.986879361914255
1749570384771,63.79181631828619,9.372111670959512,106,155,-31.041,320.014,39.295,50.277,56.408985024958405,1007.4205698602794,13.46,61.99107784431138
1749570385371,63.79181407021389,9.372090897169445,84,150,9.106,100.224,27.135,43.081,56.51766666666666,1007.4328453093814,13.46,62.00904191616766
1749570385974,63.79181172900166,9.372068246136994,72,109,11.621,535.625,-9.642,35.106,56.71863560732113,1007.4436435129742,13.46,62.00430139720559
1749570386572,63.79180928831463,9.372044076974232,66,90,-29.407,437.009,17.33,66.977,56.91982543640898,1007.4543303090728,13.46,62.00166500498504
1749570387172,63.79180695310593,9.372018791949529,62,85,48.94,-44.285,-3.071,0.815,57.20865224625624,1007.4652176470588,13.46,62.00764705882353
1749570387774,63.79180414106489,9.37199407242651,78,109,5.899,430.178,9.54,45.601,57.30881863560732,1007.4748276171484,13.46,62.01729810568295
1749570388374,63.791801400543534,9.371969581544649,66,130,-32.377,492.845,21.828,39.595,57.40865224625624,1007.4835614157528,13.46,62.02926221335992
