timestamp,eID,objectVersion,classID,sensorMeasures,sensorConfig,Realtime,Livetime,Spectrum_length,Spectrum_sum,Spectrum_max,Total,Countrate,Cosmics,vT,datetime
1749562275601.0,SPECTRO_4112,,,,,0.202,0.202,512.0,23.0,2.0,23.0,114.0,0.0,1749562275601.0,2025-06-10 13:31:15.601
1749562275800.0,SPECTRO_4112,,,,,0.198,0.198,512.0,18.0,2.0,18.0,91.0,0.0,1749562275800.0,2025-06-10 13:31:15.800
1749562276001.0,SPECTRO_4112,,,,,0.2,0.2,512.0,23.0,1.0,23.0,115.0,1.0,1749562276001.0,2025-06-10 13:31:16.001
1749562276201.0,SPECTRO_4112,,,,,0.2,0.2,512.0,21.0,2.0,21.0,105.0,0.0,1749562276201.0,2025-06-10 13:31:16.201
1749562276399.0,SPECTRO_4112,,,,,0.198,0.198,512.0,22.0,2.0,22.0,111.0,0.0,1749562276399.0,2025-06-10 13:31:16.399
1749562276599.0,SPECTRO_4112,,,,,0.199,0.199,512.0,32.0,2.0,32.0,161.0,0.0,1749562276599.0,2025-06-10 13:31:16.599
1749562276801.0,SPECTRO_4112,,,,,0.201,0.201,512.0,27.0,3.0,27.0,134.0,0.0,1749562276801.0,2025-06-10 13:31:16.801
1749562276999.0,SPECTRO_4112,,,,,0.198,0.198,512.0,24.0,2.0,24.0,121.0,0.0,1749562276999.0,2025-06-10 13:31:16.999
1749562277199.0,SPECTRO_4112,,,,,0.199,0.199,512.0,21.0,3.0,21.0,106.0,1.0,1749562277199.0,2025-06-10 13:31:17.199
1749562277399.0,SPECTRO_4112,,,,,0.2,0.2,512.0,35.0,3.0,35.0,175.0,0.0,1749562277399.0,2025-06-10 13:31:17.399
1749562277599.0,SPECTRO_4112,,,,,0.199,0.199,512.0,34.0,3.0,34.0,171.0,0.0,1749562277599.0,2025-06-10 13:31:17.599
1749562277799.0,SPECTRO_4112,,,,,0.2,0.2,512.0,21.0,2.0,21.0,105.0,2.0,1749562277799.0,2025-06-10 13:31:17.799
1749562277999.0,SPECTRO_4112,,,,,0.2,0.2,512.0,26.0,3.0,26.0,130.0,0.0,1749562277999.0,2025-06-10 13:31:17.999
1749562278199.0,SPECTRO_4112,,,,,0.199,0.199,512.0,22.0,2.0,22.0,111.0,0.0,1749562278199.0,2025-06-10 13:31:18.199
1749562278400.0,SPECTRO_4112,,,,,0.201,0.201,512.0,14.0,2.0,14.0,70.0,0.0,1749562278400.0,2025-06-10 13:31:18.400
1749562278600.0,SPECTRO_4112,,,,,0.199,0.199,512.0,27.0,1.0,27.0,136.0,0.0,1749562278600.0,2025-06-10 13:31:18.600
1749562278800.0,SPECTRO_4112,,,,,0.2,0.2,512.0,26.0,3.0,26.0,130.0,0.0,1749562278800.0,2025-06-10 13:31:18.800
1749562279002.0,SPECTRO_4112,,,,,0.202,0.202,512.0,26.0,3.0,26.0,129.0,0.0,1749562279002.0,2025-06-10 13:31:19.002
1749562279200.0,SPECTRO_4112,,,,,0.197,0.197,512.0,27.0,3.0,27.0,137.0,0.0,1749562279200.0,2025-06-10 13:31:19.200
1749562279401.0,SPECTRO_4112,,,,,0.2,0.2,512.0,24.0,2.0,24.0,120.0,0.0,1749562279401.0,2025-06-10 13:31:19.401
1749562279601.0,SPECTRO_4112,,,,,0.2,0.2,512.0,21.0,2.0,21.0,105.0,0.0,1749562279601.0,2025-06-10 13:31:19.601
1749562279802.0,SPECTRO_4112,,,,,0.2,0.2,512.0,26.0,2.0,26.0,130.0,0.0,1749562279802.0,2025-06-10 13:31:19.802
