timestamp,lat,lon,Total,Countrate,U238,K40,Th232,Cs137,Height,Press,Temp,Hum
1749564917473,63.79095752676641,9.371729536824605,42,100,-18.744,44.626,45.955,1.992,60.7,1007.0374224550898,13.95,55.02883233532934
1749563879499,63.790957546405956,9.372803659823091,116,210,-18.977,910.787,5.453,126.772,56.33362011173184,1008.5219778443113,16.74,50.84
1749564912070,63.79095761407376,9.371726483172491,46,75,88.64,39.802,-39.8,18.5,60.19334442595674,1006.949098005982,13.95,55.02
1749563899321,63.790957653118284,9.372804070430108,115,180,51.221,582.638,-6.907,26.656,57.43229032258064,1008.5303799401197,16.82,50.90446107784431
1749563893315,63.79095780326797,9.37280400895425,113,203,-66.105,820.562,84.263,57.063,57.16578431372549,1008.5302046906188,16.79561876247505,50.93561876247505
1749563886106,63.790957804527935,9.372803865028901,109,165,-37.944,928.932,57.677,8.013,56.495878612716766,1008.5218145708584,16.76370259481038,50.87740518962076
1749563945570,63.79095783444694,9.372792746809308,99,193,25.829,143.131,33.673,26.382,58.79134534534534,1008.4234361277445,16.97,50.89337325349302
1749563711274,63.79095795909149,9.37281184849648,114,180,-37.864,638.103,54.614,85.551,54.27087907869482,1008.5260802592223,16.24,50.26043868394815
1749563708270,63.79095844661963,9.372811161184597,130,250,35.803,491.902,34.997,71.718,54.12463844797178,1008.5249696606786,16.23,50.25018962075848
1749563735321,63.79095845318391,9.372800858356323,122,230,45.539,66.016,35.987,60.194,54.522675862068965,1008.5406685942173,16.319651046859423,50.34
1749563946769,63.790958561071626,9.37278979138292,90,146,-15.776,267.884,31.411,24.415,60.047107438016525,1008.3618733532934,16.97,50.882694610778444
1749563746126,63.79095866069215,9.372796812203857,110,175,12.362,769.426,8.17,38.034,54.84364876033058,1008.5494299401197,16.35,50.461896207584836
1749563702262,63.79095869013699,9.372816095068494,104,150,40.855,510.367,25.536,-7.964,54.006465753424656,1008.5196713426855,16.219869739478955,50.24
1749563747329,63.790958968208095,9.372796347861273,115,185,79.285,385.385,16.526,-10.845,54.79416184971099,1008.5490109780438,16.35,50.41439121756487
1749564918075,63.790959101261784,9.371741349755963,41,80,2.135,32.483,9.89,37.093,60.7,1007.0622354291417,13.95,55.02282435129741
1749563943765,63.790959355681444,9.37279184050903,120,216,-48.303,1191.298,83.748,-4.932,56.202298850574714,1008.4999566866268,16.96,50.8812375249501
1749563749130,63.79095936245763,9.372795482644067,114,145,-22.845,428.025,61.75,63.799,54.71764576271186,1008.5492516966067,16.36,50.35326347305389
1749563954578,63.79095936784248,9.372783340643371,69,115,19.681,204.375,-7.387,2.833,65.8,1007.796484231537,16.98,50.767325349301395
1749563750330,63.79095938611765,9.372795472616247,119,175,66.847,226.228,16.332,-14.035,54.712510924369745,1008.5486365269461,16.36,50.4239121756487
1749563869287,63.790959503125,9.372801852130682,132,225,4.385,648.491,53.477,-13.964,55.64172727272727,1008.5193770687936,16.71,50.79770687936192
1749563696263,63.79095971585302,9.37281542608924,112,170,25.734,642.436,12.133,16.091,54.39779527559055,1008.5215984031936,16.19,50.23
1749563949171,63.79095975518727,9.372787526966293,80,179,30.677,81.381,40.45,-15.311,64.35205992509364,1008.2134171656687,16.97,50.84233532934132
1749563773189,63.790959791660775,9.372795354252062,117,195,14.635,469.58,24.59,48.765,54.99640989399293,1008.5445373253492,16.44740518962076,50.55259481037924
1749563839260,63.79096016717304,9.372800733226024,108,130,85.706,340.374,4.984,10.966,55.11378672032193,1008.5158502994012,16.64,50.733612774451096
1749563779194,63.790960205714285,9.372794778589286,130,205,26.393,907.399,10.266,-0.006,54.99986785714285,1008.5389633466135,16.467270916334662,50.58
1749563782201,63.79096023044537,9.372794916127349,124,243,-39.083,875.171,63.541,-1.269,55.189089770354904,1008.5411236526946,16.477255489021957,50.601766467065865
1749563942563,63.790960280424294,9.37279485927898,102,161,17.793,64.9,79.737,-12.159,54.973211314475876,1008.5250564307079,16.96,50.88030907278166
1749563838060,63.79096033205882,9.372799636433824,109,175,19.249,983.377,-11.46,37.65,54.984477941176465,1008.5164970059881,16.64,50.74558882235529
1749563866286,63.79096034367347,9.37280052,129,215,-32.108,641.776,77.931,60.08,55.30979591836735,1008.5185886340976,16.705962113659023,50.785962113659025
1749563845265,63.790960401111114,9.37280146425926,113,175,34.8,199.672,51.9,9.913,54.99511111111111,1008.5144506986028,16.66,50.70846307385229
1749563851273,63.79096041348315,9.37280203073658,122,210,54.706,928.822,-26.561,5.13,54.907640449438205,1008.514974775673,16.67,50.74625124626122
1749563827251,63.79096046106115,9.372798688363309,127,190,17.065,641.853,20.448,42.708,54.97620863309353,1008.5191754491018,16.61,50.74344311377246
1749563857279,63.79096048654321,9.372802622592593,106,175,71.839,507.024,-22.99,35.483,55.050925925925924,1008.5138788634098,16.68,50.766171485543374
1749563858478,63.7909605,9.372803175922954,121,195,57.886,451.683,9.689,31.422,55.108518459069025,1008.5139746506986,16.688133732534933,50.76186626746507
1749563852474,63.79096072440778,9.3728011892978,114,185,115.423,34.716,32.295,-4.856,54.81575634517766,1008.5154526946108,16.67,50.75
1749563798422,63.79096088204348,9.372795934989131,135,235,-29.619,869.468,58.771,41.228,55.05468913043478,1008.5374199401795,16.52900299102692,50.68700897308076
1749563785205,63.79096094364286,9.372793961535715,98,141,-38.718,868.097,55.828,-13.992,54.94501428571428,1008.54245333998,16.48,50.61162512462612
1749563817040,63.790960986624206,9.37279848690729,111,205,-10.268,408.314,60.787,42.825,55.27598089171975,1008.5256149700598,16.58,50.71
1749563797221,63.79096103120508,9.372795632582804,114,215,-7.427,411.234,75.12,-2.119,55.02548837209302,1008.5379866267465,16.52,50.7402994011976
1749563806229,63.79096127362805,9.37279714359756,131,230,37.051,875.74,3.026,38.305,55.08382317073171,1008.5326626121634,16.55,50.69686939182453
1749563805028,63.79096131337301,9.372796919920635,135,204,26.871,731.003,13.14,46.673,55.01483928571428,1008.531115453639,16.544895314057825,50.69
1749564918675,63.79096135274265,9.371758973449806,41,50,-28.039,123.243,21.69,52.979,60.7,1007.0869659680639,13.95,55.0231636726547
1749563794216,63.79096138569204,9.37279420133218,121,215,16.435,487.324,46.809,16.986,54.834858131487884,1008.5389458624127,16.51,50.652293120638085
1749563941362,63.79096149013012,9.372794857259136,110,180,-31.202,777.994,32.629,60.962,54.24435215946844,1008.544125748503,16.96,50.880838323353295
1749563815238,63.790961598847325,9.372797095465328,118,145,-13.882,1020.435,27.559,69.344,55.10650729927007,1008.5233428286853,16.58,50.70329681274901
1749563728709,63.79096162970786,9.372795026762452,117,191,18.135,836.378,12.686,20.856,54.05016091954023,1008.5351408773679,16.3,50.3073778664008
1749563716694,63.790961685064296,9.372795850321463,107,185,86.717,464.977,-52.412,74.691,54.01985756676558,1008.5285163672654,16.26,50.27614770459082
1749563734717,63.79096173504823,9.372794320900322,107,185,-17.9,420.945,68.538,8.23,54.08081028938906,1008.5401266201396,16.313629112662014,50.34
1749563719686,63.79096174357821,9.372795360407297,108,145,151.579,451.417,-62.634,42.307,54.02012593703148,1008.532596506986,16.27,50.28
1749563877693,63.79096179305556,9.372793993055556,110,170,30.955,559.023,16.121,-4.39,54.34766666666667,1008.5237586826348,16.739770459081836,50.829770459081836
1749563727510,63.79096184414349,9.372794575191456,134,265,12.444,364.045,29.045,43.194,54.020979443772674,1008.5342798403194,16.291726546906187,50.3
1749563898722,63.79096186303165,9.37279410296736,115,174,-82.234,869.237,97.032,7.848,54.593354599406524,1008.531117547358,16.819561316051846,50.91043868394815
1749563812234,63.79096187080501,9.372796520500895,104,195,9.989,396.981,50.962,-13.177,55.05856171735241,1008.5262703888335,16.57,50.69
